# minDate: 2014-01-22 (inferred from apk metadata) 
# maxDate: 2015-05-26 (inferred from apk metadata) 
Books & Reference       |     Top Free |  1 | 2014-07-09 | /jacobs/APKs/an/anim/animaonl/animaonline.android.wikiexplorer/1.5.5/animaonline.android.wikiexplorer.apk                                                                                                                                                                      
Books & Reference       |     Top Free |  1 | 2015-04-19 | /jacobs/APKs/co/com./com.mega/com.megalol.quotes/1.42/com.megalol.quotes.apk                                                                                                                                                                                                   
Books & Reference       |     Top Free |  2 | 2015-02-05 | /jacobs/APKs/co/com./com.audi/com.audible.application/1.7.0/com.audible.application.apk                                                                                                                                                                                        
Books & Reference       |     Top Free |  2 | 2014-08-15 | /jacobs/APKs/de/de.d/de.dasoe/de.dasoertliche.android/3.11/de.dasoertliche.android.apk                                                                                                                                                                                         
Books & Reference       |     Top Free |  2 | 2015-02-15 | /jacobs/APKs/or/org./org.leo./org.leo.android.dict/5.3/org.leo.android.dict.apk                                                                                                                                                                                                
Books & Reference       |     Top Free |  3 | 2014-08-19 | /jacobs/APKs/or/org./org.wiki/org.wikipedia/2.0-r-2014-08-13/org.wikipedia.apk                                                                                                                                                                                                 
Books & Reference       |     Top Free |  4 | 2015-04-19 | /jacobs/APKs/co/com./com.amaz/com.amazon.kindle/4.11.0.127/com.amazon.kindle.apk                                                                                                                                                                                               
Books & Reference       |     Top Free |  5 | 2015-03-28 | /jacobs/APKs/cc/cc.d/cc.dict./cc.dict.dictcc/3.9/cc.dict.dictcc.apk                                                                                                                                                                                                            
Books & Reference       |     Top Free |  6 | 2014-08-12 | /jacobs/APKs/co/com./com.goog/com.google.android.stardroid/1.6.4/com.google.android.stardroid.apk                                                                                                                                                                              
Books & Reference       |     Top Free |  6 | 2014-12-08 | /jacobs/APKs/co/com./com.skol/com.skollabs.quotes/2.0.2/com.skollabs.quotes.apk                                                                                                                                                                                                
Books & Reference       |     Top Free |  7 | 2014-09-19 | /jacobs/APKs/co/com./com.pons/com.pons.onlinedictionary/2.4.2-google/com.pons.onlinedictionary.apk                                                                                                                                                                             
Books & Reference       |     Top Free |  7 | 2014-09-27 | /jacobs/APKs/de/de.g/de.gelbe/de.gelbeseiten.android/4.4/de.gelbeseiten.android.apk                                                                                                                                                                                            
Books & Reference       |     Top Free |  8 | 2014-09-10 | /jacobs/APKs/wp/wp.w/wp.wattp/wp.wattpad/4.9.1/wp.wattpad.apk                                                                                                                                                                                                                  
Books & Reference       |     Top Free |  8 | 2014-08-13 | /jacobs/APKs/co/com./com.goog/com.google.android.apps.books/3.1.49/com.google.android.apps.books.apk                                                                                                                                                                           
Books & Reference       |     Top Free |  8 | 2014-06-18 | /jacobs/APKs/co/com./com.osso/com.ossolf.gunsmodforminecraft/1.0/com.ossolf.gunsmodforminecraft.apk                                                                                                                                                                            
Books & Reference       |     Top Free |  9 | 2015-02-15 | /jacobs/APKs/co/com./com.dic_/com.dic_o.dico_eng_ger/1.0/com.dic_o.dico_eng_ger.apk                                                                                                                                                                                            
Books & Reference       |     Top Free | 10 | 2014-08-02 | /jacobs/APKs/co/com./com.org./com.org.sprintreader/3.2.0/com.org.sprintreader.apk                                                                                                                                                                                              
Books & Reference       |     Top Free | 11 | 2014-08-31 | /jacobs/APKs/co/com./com.aldi/com.aldiko.android/3.0.7/com.aldiko.android.apk                                                                                                                                                                                                  
