# minDate: 2014-01-22 (inferred from apk metadata) 
# maxDate: 2015-05-26 (inferred from apk metadata) 
Books & Reference       |     Top Free | 1 | 2014-07-09 | /jacobs/APKs/an/anim/animaonl/animaonline.android.wikiexplorer/1.5.5/animaonline.android.wikiexplorer.apk                                                
Books & Reference       |     Top Free | 1 | 2015-04-19 | /jacobs/APKs/co/com./com.mega/com.megalol.quotes/1.42/com.megalol.quotes.apk                                                                             
Books & Reference       |     Top Free | 2 | 2015-02-05 | /jacobs/APKs/co/com./com.audi/com.audible.application/1.7.0/com.audible.application.apk                                                                  
Business                |     Top Free | 1 | 2015-02-25 | /jacobs/APKs/co/com./com.infr/com.infraware.office.link/6.0.9/com.infraware.office.link.apk                                                              
Business                |     Top Free | 1 | 2014-02-17 | /jacobs/APKs/co/com./com.verv/com.vervigroup.deadline2do/1.105/com.vervigroup.deadline2do.apk                                                            
Business                |     Top Free | 1 | 2014-08-03 | /jacobs/APKs/co/com./com.rhms/com.rhmsoft.fm/1.17.0/com.rhmsoft.fm.apk                                                                                   
Comics                  |     Top Free | 1 | 2014-02-02 | /jacobs/APKs/ar/arli/arlind.S/arlind.Shqip/2.0/arlind.Shqip.apk                                                                                          
Comics                  |     Top Free | 1 | 2014-06-07 | /jacobs/APKs/co/com./com.ht.m/com.ht.manga.gpanda/1.3.4/com.ht.manga.gpanda.apk                                                                          
Comics                  |     Top Free | 1 | 2014-08-13 | /jacobs/APKs/co/com./com.nave/com.naver.linewebtoon/1.0.6/com.naver.linewebtoon.apk                                                                      
Communication           |     Top Free | 1 | 2014-09-17 | /jacobs/APKs/co/com./com.face/com.facebook.orca/12.0.0.21.14/com.facebook.orca.apk                                                                       
Communication           |     Top Free | 1 | 2014-03-11 | /jacobs/APKs/or/org./org.tele/org.telegram.messenger/1.3.30/org.telegram.messenger.apk                                                                   
Communication           |     Top Free | 2 | 2014-09-03 | /jacobs/APKs/co/com./com.skyp/com.skype.raider/5.0.0.51733/com.skype.raider.apk                                                                          
Education               |     Top Free | 1 | 2014-08-21 | /jacobs/APKs/co/com./com.duol/com.duolingo/2.7.2/com.duolingo.apk                                                                                        
Education               |     Top Free | 1 | 2014-03-12 | /jacobs/APKs/co/com./com.unic/com.unicef.maranetwork/1.1/com.unicef.maranetwork.apk                                                                      
Education               |     Top Free | 1 | 2014-08-13 | /jacobs/APKs/co/com./com.babb/com.babbel.mobile.android.en/4.3.3/com.babbel.mobile.android.en.apk                                                        
Entertainment           |     Top Free | 1 | 2014-02-24 | /jacobs/APKs/co/com./com.outf/com.outfit7.talkingangelafree/2.2/com.outfit7.talkingangelafree.apk                                                        
Entertainment           |     Top Free | 1 | 2014-08-02 | /jacobs/APKs/co/com./com.matt/com.mattia.videos.manager/1.01/com.mattia.videos.manager.apk                                                               
Entertainment           |     Top Free | 1 | 2014-09-13 | /jacobs/APKs/co/com./com.mian/com.miantan.myoface/3.3.0/com.miantan.myoface.apk                                                                          
Finance                 |     Top Free | 1 | 2015-03-10 | /jacobs/APKs/co/com./com.payp/com.paypal.android.p2pmobile/5.11.3/com.paypal.android.p2pmobile.apk                                                       
Finance                 |     Top Free | 1 | 2015-05-06 | /jacobs/APKs/co/com./com.star/com.starfinanz.smob.android.sfinanzstatus/2.6.2/com.starfinanz.smob.android.sfinanzstatus.apk                              
Finance                 |     Top Free | 2 | 2014-02-27 | /jacobs/APKs/co/com./com.book/com.bookmark.money/android-2.3.1/com.bookmark.money.apk                                                                    
